eigval_1,eigval_2,eigval_3,eigval_4,eigval_5,eigval_6,eigval_7,eigval_8,eigval_9,eigval_10,eigval_11,eigval_12,eigval_13,eigval_14,eigval_15,eigval_16,eigval_17,eigval_18,eigval_19,eigval_20,centroid_max,centroid_std,dist_min,dist_max,CN_mean,CN_std,energy
44828.59604098209,21388.596185585877,20712.97003722726,20711.98786647437,18254.785452083277,16988.44392458471,16810.087608541446,16807.489349134154,16257.567575574445,15640.750228704232,15538.87884588813,15537.855651279293,15250.85372585282,15250.81084314153,15201.73535472232,14922.380939564175,14726.164795681923,14726.002626174939,14536.053097147576,14256.01803363659,5.02009692699912,1.0842983958522017,2.579437053315704,8.833027595153546,3.6,1.2,-1547.657785
47566.51094427006,21592.979781509544,21405.074867115713,19451.35632892641,17546.012997820737,16926.8881849232,16623.63522604749,16155.769422337044,16102.011175195614,15708.585452828891,15423.838600770325,15317.190847369211,15210.978612060377,14928.15238053913,14871.534681970923,14841.01448377606,14783.569429719422,14761.187926380728,14603.667329753509,14528.069508666837,4.681877876717846,0.8672986718233768,2.588233299173202,9.363755753435692,4.8,1.939071942966532,-1552.217633
48208.96687986108,21647.591770865183,21230.13757357886,19339.93305614472,17524.745169115933,16829.070052501287,16354.79842592796,16060.570674662786,16037.920573838095,15809.558642758497,15607.956763668011,15572.186015125071,15120.902965136418,14888.77037558442,14868.499644141611,14850.96584885551,14747.255684194719,14631.87180867345,14538.700597737414,14477.625659610178,4.786338862802027,0.87611155204906,2.6040498959683935,9.572677725604054,5.5,2.29128784747792,-1552.886542
45278.6112666344,22335.311945576737,22335.311945576723,18425.3711591922,17532.612665163833,16473.945266171788,16349.578128843796,16349.578128843787,16310.000759341461,15893.531352998409,15734.999665369576,15734.999665369573,15378.088699840237,15125.649779209649,15125.649779209643,14997.730956264453,14960.347296459966,14798.065692142975,14798.065692142969,14410.578337629053,4.432480473091562,0.8845641506950085,2.580931428417462,8.864960946183125,3.2,1.9390719429665315,-1544.625769
41845.95174852224,22958.556618878793,22958.556618878767,19584.604223269427,18510.141791242375,17357.65900043863,16474.347939412753,16474.34793941275,16196.670887932556,16196.670887932549,15711.79845520296,15295.886103660669,15295.37525660953,15032.515025517567,15032.515025517563,14778.82164054578,14751.85374595901,14676.33694577071,14607.709163638337,14607.709163638332,6.06967,1.5236641892611418,2.5625620000000002,12.13934,3.2,1.1661903789690602,-1548.519202
42543.589549410885,22924.456005354656,22924.45600535465,18522.44358181728,18387.94835530897,18132.278187614535,16582.81169131197,16582.811691311967,16097.789671448296,16097.789671448294,15890.73727780316,15187.427478546851,15117.824846456368,15100.42686031452,15019.861045845177,15019.86104584517,14743.940174974103,14544.878881467048,14544.878881467048,14381.817278880233,5.6848602901510255,1.4559095568154157,2.5538420052622675,11.369720580302051,3.2,1.1661903789690602,-1550.422329
41937.27683331441,23069.27359213757,22681.880022416502,19774.441629678106,18688.7693647233,17294.282890760544,17143.902109645154,16996.155068605054,15730.81594354751,15682.422313413985,15545.470264112699,15379.32942215595,15284.9510982868,15179.955796581995,14934.294131054205,14739.894738142,14667.689705412236,14624.706133363718,14542.668962684267,14449.84816194516,7.23016,1.7584373817457346,2.5788584388238522,14.46032,3.7,1.1874342087037917,-1551.619445
42543.722636414604,22924.558913711728,22924.558913711724,18522.960796436117,18387.423415013807,18132.151963096054,16582.725248161438,16582.72524816142,16097.85199786748,16097.851997867469,15890.510122003641,15187.642349640313,15117.808887610561,15100.356193709455,15019.897786518119,15019.89778651811,14743.738446092644,14544.817457839012,14544.817457838999,14382.01056376843,5.68474797873371,1.455856645977173,2.553968,11.36949595746742,3.2,1.1661903789690602,-1550.422336
40918.841240944064,23813.712445325367,23706.62677377199,19701.533375437088,18233.076561526326,16879.418014497398,16840.38884563822,16824.172313501207,15864.224888031302,15847.505657885988,15804.347051735918,15318.273869316337,15155.464021287398,15052.043459646233,14946.559111334414,14903.878612846827,14801.21063994842,14649.205263431797,14630.818903696361,14456.727132178541,6.162903819627968,1.1465157580778276,2.5712441484590687,12.325807639255936,3.6,0.7999999999999999,-1549.506412
41683.710807711475,22894.566552562996,22894.56655256298,19627.700760170068,18672.68369097437,17367.08751175893,17146.4960237869,17146.496023786887,15650.708530138229,15545.864848141737,15545.864848141733,15504.484555920666,15269.949940438453,15169.058769389065,15169.058769389063,14689.729330536396,14637.847981437408,14627.032516823223,14552.560084155297,14552.560084155293,7.009562249824307,1.7093525954489435,2.5601430334465687,14.019124499648614,3.2,0.7483314773547883,-1550.116729
